,Survived,Pclass,Age,SibSp,Parch,Fare,Gender,Embarked
60,0,3,22.0,0,0,0,0,C
61,1,1,38.0,0,0,3,1,S
62,0,1,45.0,1,0,3,0,S
63,0,3,4.0,3,2,2,0,S
64,0,1,19.21542696384946,0,0,2,0,C
65,1,3,31.21731846373215,1,1,2,0,C
66,1,2,29.0,0,0,1,1,S
67,0,3,19.0,0,0,1,0,S
68,1,3,17.0,4,2,1,1,S
69,0,3,26.0,2,0,1,0,S
70,0,2,32.0,0,0,1,0,S
71,0,3,16.0,5,2,3,1,S
72,0,2,21.0,0,0,3,0,S
73,0,3,26.0,1,0,2,0,C
74,1,3,32.0,0,0,3,0,S
75,0,3,25.0,0,0,0,0,S
76,0,3,17.326368231780453,0,0,0,0,S
77,0,3,20.176456313263035,0,0,1,0,S
78,1,2,0.83,0,2,2,0,S
79,1,3,30.0,0,0,1,1,S
80,0,3,22.0,0,0,1,0,S
81,1,3,29.0,0,0,1,0,S
82,1,3,33.563832075983804,0,0,0,1,Q
83,0,1,28.0,0,0,3,0,S
84,1,2,17.0,0,0,1,1,S
85,1,3,33.0,3,0,2,1,S
86,0,3,16.0,1,3,3,0,S
87,0,3,41.027105167192445,0,0,1,0,S
88,1,1,23.0,3,2,3,1,S
89,0,3,24.0,0,0,1,0,S
90,0,3,29.0,0,0,1,0,S
91,0,3,20.0,0,0,0,0,S
92,0,1,46.0,1,0,3,0,S
93,0,3,26.0,1,2,2,0,S
94,0,3,59.0,0,0,0,0,S
95,0,3,35.657439906531934,0,0,1,0,S
96,0,1,71.0,0,0,3,0,C
97,1,1,23.0,0,1,3,0,C
98,1,2,34.0,0,1,2,1,S
99,0,2,34.0,1,0,2,0,S
100,0,3,28.0,0,0,0,1,S
101,0,3,42.246291756405604,0,0,0,0,S
102,0,1,21.0,0,1,3,0,S
103,0,3,33.0,0,0,1,0,S
104,0,3,37.0,2,0,1,0,S
105,0,3,28.0,0,0,0,0,S
106,1,3,21.0,0,0,0,1,S
107,1,3,24.94236311442889,0,0,0,0,S
108,0,3,38.0,0,0,0,0,S
109,1,3,18.802843604074603,1,0,2,1,Q
110,0,1,47.0,0,0,3,0,S
111,0,3,14.5,1,0,2,1,C
112,0,3,22.0,0,0,1,0,S
113,0,3,20.0,1,0,1,1,S
114,0,3,17.0,0,0,2,1,C
115,0,3,21.0,0,0,1,0,S
116,0,3,70.5,0,0,0,0,Q
117,0,2,29.0,1,0,2,0,S
118,0,1,24.0,0,1,3,0,C
119,0,3,2.0,4,2,3,1,S
120,0,2,21.0,2,0,3,0,S
121,0,3,15.265101380886323,0,0,1,0,S
122,0,2,32.5,1,0,2,0,C
123,1,2,32.5,0,0,1,1,S
124,0,1,54.0,0,1,3,0,S
125,1,3,12.0,1,0,1,0,C
126,0,3,24.449813604114155,0,0,0,0,Q
127,1,3,24.0,0,0,0,0,S
128,1,3,19.087180773030333,1,1,2,1,C
129,0,3,45.0,0,0,0,0,S
130,0,3,33.0,0,0,0,0,C
131,0,3,20.0,0,0,0,0,S
132,0,3,47.0,1,0,2,1,S
133,1,2,29.0,1,0,2,1,S
134,0,2,25.0,0,0,1,0,S
135,0,2,23.0,0,0,2,0,C
136,1,1,19.0,0,2,2,1,S
137,0,1,37.0,1,0,3,0,S
138,0,3,16.0,0,0,1,0,S
139,0,1,24.0,0,0,3,0,C
140,0,3,43.17374602442244,0,2,2,1,C
141,1,3,22.0,0,0,0,1,S
142,1,3,24.0,1,0,2,1,S
143,0,3,19.0,0,0,0,0,Q
144,0,2,18.0,0,0,1,0,S
145,0,2,19.0,1,1,3,0,S
146,1,3,27.0,0,0,0,0,S
147,0,3,9.0,2,2,3,1,S
148,0,2,36.5,0,2,2,0,S
149,0,2,42.0,0,0,1,0,S
150,0,2,51.0,0,0,1,0,S
151,1,1,22.0,1,0,3,1,S
152,0,3,55.5,0,0,1,0,S
153,0,3,40.5,0,2,2,0,S
154,0,3,29.074099278757686,0,0,0,0,S
155,0,1,51.0,0,1,3,0,C
156,1,3,16.0,0,0,0,1,Q
157,0,3,30.0,0,0,1,0,S
158,0,3,20.784756223452973,0,0,1,0,S
159,0,3,22.696869668475617,8,2,3,0,S
160,0,3,44.0,0,1,2,0,S
161,1,2,40.0,0,0,2,1,S
162,0,3,26.0,0,0,0,0,S
163,0,3,17.0,0,0,1,0,S
164,0,3,1.0,4,1,3,0,S
165,1,3,9.0,0,2,2,0,S
166,1,1,36.42505015999476,0,1,3,1,S
167,0,3,45.0,1,4,2,1,S
168,0,1,17.10938038482749,0,0,2,0,S
169,0,3,28.0,0,0,3,0,S
170,0,1,61.0,0,0,3,0,S
171,0,3,4.0,4,1,2,0,Q
172,1,3,1.0,1,1,1,1,S
173,0,3,21.0,0,0,1,0,S
174,0,1,56.0,0,0,2,0,C
175,0,3,18.0,1,1,0,0,S
176,0,3,25.575221404539263,3,1,2,0,S
177,0,1,50.0,0,0,2,1,C
178,0,2,30.0,0,0,1,0,S
179,0,3,36.0,0,0,0,0,S
180,0,3,31.0662255125612,8,2,3,1,S
181,0,2,22.107367885416018,0,0,2,0,C
182,0,3,9.0,4,2,3,0,S
183,1,2,1.0,2,1,3,0,S
184,1,3,4.0,0,2,2,1,S
185,0,1,26.931238623386285,0,0,3,0,S
186,1,3,27.26401754397028,1,0,2,1,Q
187,1,1,45.0,0,0,2,0,S
188,0,3,40.0,1,1,2,0,Q
189,0,3,36.0,0,0,0,0,S
190,1,2,32.0,0,0,1,1,S
191,0,2,19.0,0,0,1,0,S
192,1,3,19.0,1,0,0,1,S
193,1,2,3.0,1,1,2,0,S
194,1,1,44.0,0,0,2,1,C
195,1,1,58.0,0,0,3,1,C
196,0,3,30.506042983561276,0,0,0,0,Q
197,0,3,42.0,0,1,1,0,S
198,1,3,36.03309624309021,0,0,0,1,Q
199,0,2,24.0,0,0,1,1,S
200,0,3,28.0,0,0,1,0,S
201,0,3,32.712991934475276,8,2,3,0,S
202,0,3,34.0,0,0,0,0,S
203,0,3,45.5,0,0,0,0,C
204,1,3,18.0,0,0,1,0,S
205,0,3,2.0,0,1,1,1,S
206,0,3,32.0,1,0,2,0,S
207,1,3,26.0,0,0,2,0,C
208,1,3,16.0,0,0,0,1,Q
209,1,1,40.0,0,0,2,0,C
210,0,3,24.0,0,0,0,0,S
211,1,2,35.0,0,0,2,1,S
212,0,3,22.0,0,0,0,0,S
213,0,2,30.0,0,0,1,0,S
214,0,3,23.381783851101183,1,0,0,0,Q
215,1,1,31.0,1,0,3,1,C
216,1,3,27.0,0,0,1,1,S
217,0,2,42.0,1,0,2,0,S
218,1,1,32.0,0,0,3,1,C
219,0,2,30.0,0,0,1,0,S
220,1,3,16.0,0,0,1,0,S
221,0,2,27.0,0,0,1,0,S
222,0,3,51.0,0,0,1,0,S
223,0,3,37.12318159010628,0,0,0,0,S
224,1,1,38.0,1,0,3,0,S
225,0,3,22.0,0,0,1,0,S
226,1,2,19.0,0,0,1,0,S
227,0,3,20.5,0,0,0,0,S
228,0,2,18.0,0,0,1,0,S
229,0,3,21.719997545812888,3,1,2,1,S
230,1,1,35.0,1,0,3,1,S
231,0,3,29.0,0,0,0,0,S
232,0,2,59.0,0,0,1,0,S
233,1,3,5.0,4,2,3,1,S
234,0,2,24.0,0,0,1,0,S
235,0,3,23.832706233735294,0,0,0,1,S
236,0,2,44.0,1,0,2,0,S
237,1,2,8.0,0,2,2,1,S
238,0,2,19.0,0,0,1,0,S
239,0,2,33.0,0,0,1,0,S
240,0,3,29.331151956198518,1,0,2,1,C
241,1,3,40.075369434012586,1,0,2,1,Q
242,0,2,29.0,0,0,1,0,S
243,0,3,22.0,0,0,0,0,S
244,0,3,30.0,0,0,0,0,C
245,0,1,44.0,2,0,3,0,Q
246,0,3,25.0,0,0,0,1,S
247,1,2,24.0,0,2,2,1,S
248,1,1,37.0,1,1,3,0,S
249,0,2,54.0,1,0,2,0,S
250,0,3,38.56283981769671,0,0,0,0,S
251,0,3,29.0,1,1,1,1,S
252,0,1,62.0,0,0,2,0,S
253,0,3,30.0,1,0,2,0,S
254,0,3,41.0,0,2,2,1,S
255,1,3,29.0,0,2,2,1,C
256,1,1,17.750414026164382,0,0,3,1,C
257,1,1,30.0,0,0,3,1,S
258,1,1,35.0,0,0,2,1,C
259,1,2,50.0,0,1,2,1,S
260,0,3,28.68018215981082,0,0,0,0,Q
261,1,3,3.0,4,2,3,0,S
262,0,1,52.0,1,1,3,0,S
263,0,1,40.0,0,0,0,0,S
264,0,3,37.391160610368345,0,0,0,1,Q
265,0,2,36.0,0,0,1,0,S
266,0,3,16.0,4,1,3,0,S
267,1,3,25.0,1,0,0,0,S
268,1,1,58.0,0,1,3,1,S
269,1,1,35.0,0,0,3,1,S
270,0,1,44.19116868380275,0,0,2,0,S
271,1,3,25.0,0,0,0,0,S
272,1,2,41.0,0,1,2,1,S
273,0,1,37.0,0,1,2,0,C
274,1,3,41.17283080784071,0,0,0,1,Q
275,1,1,63.0,1,0,3,1,S
276,0,3,45.0,0,0,0,1,S
277,0,2,23.483277946632487,0,0,0,0,S
278,0,3,7.0,4,1,2,0,Q
279,1,3,35.0,1,1,2,1,S
280,0,3,65.0,0,0,0,0,Q
281,0,3,28.0,0,0,0,0,S
282,0,3,16.0,0,0,1,0,S
283,1,3,19.0,0,0,1,0,S
284,0,1,23.122501645859828,0,0,2,0,S
285,0,3,33.0,0,0,1,0,C
286,1,3,30.0,0,0,1,0,S
287,0,3,22.0,0,0,0,0,S
288,1,2,42.0,0,0,1,0,S
289,1,3,22.0,0,0,0,1,Q
290,1,1,26.0,0,0,3,1,S
291,1,1,19.0,1,0,3,1,C
292,0,2,36.0,0,0,1,0,C
293,0,3,24.0,0,0,1,1,S
294,0,3,24.0,0,0,0,0,S
295,0,1,17.823804313024727,0,0,2,0,C
296,0,3,23.5,0,0,0,0,C
297,0,1,2.0,1,2,3,1,S
298,1,1,29.7747189268326,0,0,2,0,S
299,1,1,50.0,0,1,3,1,C
300,1,3,33.26581036822025,0,0,0,1,Q
301,1,3,24.290776486594655,2,0,2,0,Q
302,0,3,19.0,0,0,0,0,S
303,1,2,24.27814053110005,0,0,1,1,Q
304,0,3,25.441119605728343,0,0,1,0,S
305,1,1,0.92,1,2,3,0,S
306,1,1,27.19352509679446,0,0,3,1,C
307,1,1,17.0,1,0,3,1,C
308,0,2,30.0,1,0,2,0,C
309,1,1,30.0,0,0,3,1,C
310,1,1,24.0,0,0,3,1,C
311,1,1,18.0,2,2,3,1,C
312,0,2,26.0,1,1,2,1,S
313,0,3,28.0,0,0,0,0,S
314,0,2,43.0,1,1,2,0,S
315,1,3,26.0,0,0,0,1,S
316,1,2,24.0,1,0,2,1,S
317,0,2,54.0,0,0,1,0,S
318,1,1,31.0,0,2,3,1,S
319,1,1,40.0,1,1,3,1,C
320,0,3,22.0,0,0,0,0,S
321,0,3,27.0,0,0,0,0,S
322,1,2,30.0,0,0,1,1,Q
323,1,2,22.0,1,1,2,1,S
324,0,3,21.811633258324775,8,2,3,0,S
325,1,1,36.0,0,0,3,1,C
326,0,3,61.0,0,0,0,0,S
327,1,2,36.0,0,0,1,1,S
328,1,3,31.0,1,1,2,1,S
329,1,1,16.0,0,1,3,1,C
330,1,3,26.132410445941428,2,0,2,1,Q
331,0,1,45.5,0,0,2,0,S
332,0,1,38.0,0,1,3,0,S
333,0,3,16.0,2,0,2,0,S
334,1,1,19.92183694530874,1,0,3,1,S
335,0,3,20.746080142992263,0,0,0,0,S
336,0,1,29.0,1,0,3,0,S
337,1,1,41.0,0,0,3,1,C
338,1,3,45.0,0,0,1,0,S
339,0,1,45.0,0,0,3,0,S
340,1,2,2.0,1,1,2,0,S
341,1,1,24.0,3,2,3,1,S
342,0,2,28.0,0,0,1,0,S
343,0,2,25.0,0,0,1,0,S
344,0,2,36.0,0,0,1,0,S
345,1,2,24.0,0,0,1,1,S
346,1,2,40.0,0,0,1,1,S
347,1,3,32.61830438287263,1,0,2,1,S
348,1,3,3.0,1,1,2,0,S
349,0,3,42.0,0,0,1,0,S
350,0,3,23.0,0,0,1,0,S
351,0,1,33.98221387749532,0,0,3,0,S
352,0,3,15.0,1,1,0,0,C
353,0,3,25.0,1,0,2,0,S
354,0,3,24.630966212190792,0,0,0,0,C
355,0,3,28.0,0,0,1,0,S
356,1,1,22.0,0,1,3,1,S
357,0,2,38.0,0,0,1,1,S
358,1,3,26.7281782952524,0,0,0,1,Q
359,1,3,32.0321808234438,0,0,0,1,Q
360,0,3,40.0,1,4,2,0,S
361,0,2,29.0,1,0,2,0,C
362,0,3,45.0,0,1,2,1,C
363,0,3,35.0,0,0,0,0,S
364,0,3,30.036599020964314,1,0,2,0,Q
365,0,3,30.0,0,0,0,0,S
366,1,1,60.0,1,0,3,1,C
367,1,3,17.257727865785114,0,0,0,1,C
368,1,3,17.039084050071228,0,0,0,1,Q
369,1,1,24.0,0,0,3,1,C
370,1,1,25.0,1,0,3,0,C
371,0,3,18.0,1,0,0,0,S
372,0,3,19.0,0,0,1,0,S
373,0,1,22.0,0,0,3,0,C
374,0,3,3.0,3,1,2,1,S
375,1,1,23.12035477797385,1,0,3,1,C
376,1,3,22.0,0,0,0,1,S
377,0,1,27.0,0,2,3,0,C
378,0,3,20.0,0,0,0,0,C
379,0,3,19.0,0,0,0,0,S
380,1,1,42.0,0,0,3,1,C
381,1,3,1.0,0,2,2,1,C
382,0,3,32.0,0,0,1,0,S
383,1,1,35.0,1,0,3,1,S
384,0,3,43.68858645830181,0,0,0,0,S
385,0,2,18.0,0,0,3,0,S
386,0,3,1.0,5,2,3,0,S
387,1,2,36.0,0,0,1,1,S
388,0,3,20.36462117542647,0,0,0,0,Q
389,1,2,17.0,0,0,1,1,C
390,1,1,36.0,1,2,3,0,S
391,1,3,21.0,0,0,0,0,S
392,0,3,28.0,2,0,1,0,S
393,1,1,23.0,1,0,3,1,C
394,1,3,24.0,0,2,2,1,S
395,0,3,22.0,0,0,0,0,S
396,0,3,31.0,0,0,0,1,S
397,0,2,46.0,0,0,2,0,S
398,0,2,23.0,0,0,1,0,S
399,1,2,28.0,0,0,1,1,S
400,1,3,39.0,0,0,1,0,S
401,0,3,26.0,0,0,1,0,S
402,0,3,21.0,1,0,1,1,S
403,0,3,28.0,1,0,2,0,S
404,0,3,20.0,0,0,1,1,S
405,0,2,34.0,1,0,2,0,S
406,0,3,51.0,0,0,0,0,S
407,1,2,3.0,1,1,2,0,S
408,0,3,21.0,0,0,0,0,S
409,0,3,37.73699248456049,3,1,2,1,S
410,0,3,17.385945507854593,0,0,0,0,S
411,0,3,17.288411280544675,0,0,0,0,Q
412,1,1,33.0,1,0,3,1,Q
413,0,2,43.76312260635744,0,0,0,0,S
414,1,3,44.0,0,0,1,0,S
415,0,3,30.95323896953563,0,0,1,1,S
416,1,2,34.0,1,1,3,1,S
417,1,2,18.0,0,2,1,1,S
418,0,2,30.0,0,0,1,0,S
419,0,3,10.0,0,2,2,1,S
420,0,3,21.66653529911779,0,0,0,0,C
421,0,3,21.0,0,0,0,0,Q
422,0,3,29.0,0,0,0,0,S
423,0,3,28.0,1,1,1,1,S
424,0,3,18.0,1,1,2,0,S
425,0,3,40.960662160536494,0,0,0,0,S
426,1,2,28.0,1,0,2,1,S
427,1,2,19.0,0,0,2,1,S
428,0,3,34.30598184481487,0,0,0,0,Q
429,1,3,32.0,0,0,1,0,S
430,1,1,28.0,0,0,2,0,S
431,1,3,17.376790373954726,1,0,2,1,S
432,1,2,42.0,1,0,2,1,S
433,0,3,17.0,0,0,0,0,S
434,0,1,50.0,1,0,3,0,S
435,1,1,14.0,1,2,3,1,S
436,0,3,21.0,2,2,3,1,S
437,1,2,24.0,2,3,2,1,S
438,0,1,64.0,1,4,3,0,S
439,0,2,31.0,0,0,1,0,S
440,1,2,45.0,1,1,2,1,S
441,0,3,20.0,0,0,1,0,S
442,0,3,25.0,1,0,0,0,S
443,1,2,28.0,0,0,1,1,S
444,1,3,38.51224334095186,0,0,1,0,S
445,1,1,4.0,0,2,3,0,S
446,1,2,13.0,0,1,2,1,S
447,1,1,34.0,0,0,2,0,S
448,1,3,5.0,2,1,2,1,C
449,1,1,52.0,0,0,2,0,S
450,0,2,36.0,1,2,2,0,S
451,0,3,31.03958842278273,1,0,2,0,S
452,0,1,30.0,0,0,2,0,C
453,1,1,49.0,1,0,3,0,C
454,0,3,21.6414278394434,0,0,1,0,S
455,1,3,29.0,0,0,0,0,C
456,0,1,65.0,0,0,2,0,S
457,1,1,28.67908368000294,1,0,3,1,S
458,1,2,50.0,0,0,1,1,S
459,0,3,43.86414970592849,0,0,0,0,Q
460,1,1,48.0,0,0,2,0,S
461,0,3,34.0,0,0,1,0,S
462,0,1,47.0,0,0,3,0,S
463,0,2,48.0,0,0,1,0,S
464,0,3,16.55757484041256,0,0,1,0,S
465,0,3,38.0,0,0,0,0,S
466,0,2,20.109758273100226,0,0,0,0,S
467,0,1,56.0,0,0,2,0,S
468,0,3,21.948520938025087,0,0,0,0,Q
469,1,3,0.75,2,1,2,1,C
470,0,3,38.4272321740153,0,0,0,0,S
471,0,3,38.0,0,0,1,0,S
472,1,2,33.0,1,2,2,1,S
473,1,2,23.0,0,0,1,1,C
474,0,3,22.0,0,0,1,1,S
475,0,1,25.438055297201334,0,0,3,0,S
476,0,2,34.0,1,0,2,0,S
477,0,3,29.0,1,0,0,0,S
478,0,3,22.0,0,0,0,0,S
479,1,3,2.0,0,1,1,1,S
480,0,3,9.0,5,2,3,0,S
481,0,2,28.708883859200633,0,0,0,0,S
482,0,3,50.0,0,0,1,0,S
483,1,3,63.0,0,0,1,1,S
484,1,1,25.0,1,0,3,0,C
485,0,3,35.146741839585545,3,1,2,1,S
486,1,1,35.0,1,0,3,1,S
487,0,1,58.0,0,0,2,0,C
488,0,3,30.0,0,0,1,0,S
489,1,3,9.0,1,1,2,0,S
490,0,3,20.924178027636273,1,0,2,0,S
491,0,3,21.0,0,0,0,0,S
492,0,1,55.0,0,0,2,0,S
493,0,1,71.0,0,0,3,0,C
494,0,3,21.0,0,0,1,0,S
495,0,3,38.51049902524146,0,0,2,0,C
496,1,1,54.0,1,0,3,1,C
497,0,3,20.097529062140563,0,0,2,0,S
498,0,1,25.0,1,2,3,1,S
499,0,3,24.0,0,0,0,0,S
500,0,3,17.0,0,0,1,0,S
501,0,3,21.0,0,0,0,1,Q
502,0,3,42.269499998203685,0,0,0,1,Q
503,0,3,37.0,0,0,1,1,S
504,1,1,16.0,0,0,3,1,S
505,0,1,18.0,1,0,3,0,C
506,1,2,33.0,0,2,2,1,S
507,1,1,16.740054029177152,0,0,2,0,S
508,0,3,28.0,0,0,2,0,S
509,1,3,26.0,0,0,3,0,S
510,1,3,29.0,0,0,0,0,Q
511,0,3,35.120180068227,0,0,1,0,S
512,1,1,36.0,0,0,2,0,S
513,1,1,54.0,1,0,3,1,C
514,0,3,24.0,0,0,0,0,S
515,0,1,47.0,0,0,3,0,S
516,1,2,34.0,0,0,1,1,S
517,0,3,23.805425128238554,0,0,2,0,Q
518,1,2,36.0,1,0,2,1,S
519,0,3,32.0,0,0,0,0,S
520,1,1,30.0,0,0,3,1,S
521,0,3,22.0,0,0,0,0,S
522,0,3,37.55526301857277,0,0,0,0,C
523,1,1,44.0,0,1,3,1,C
524,0,3,38.47671143105444,0,0,0,0,C
525,0,3,40.5,0,0,0,0,Q
526,1,2,50.0,0,0,1,1,S
527,0,1,31.365409973883672,0,0,3,0,S
528,0,3,39.0,0,0,1,0,S
529,0,2,23.0,2,1,1,0,S
530,1,2,2.0,1,1,2,1,S
531,0,3,22.585193811346965,0,0,0,0,C
532,0,3,17.0,1,1,0,0,C
533,1,3,20.138699722484496,0,2,2,1,C
534,0,3,30.0,0,0,1,1,S
535,1,2,7.0,0,2,2,1,S
536,0,1,45.0,0,0,2,0,S
537,1,1,30.0,0,0,3,1,C
538,0,3,29.699460192360164,0,0,2,0,S
539,1,1,22.0,0,2,3,1,C
540,1,1,36.0,0,2,3,1,S
541,0,3,9.0,4,2,3,1,S
542,0,3,11.0,4,2,3,1,S
543,1,2,32.0,1,0,2,0,S
544,0,1,50.0,1,0,3,0,C
545,0,1,64.0,0,0,2,0,S
546,1,2,19.0,1,0,2,1,S
547,1,2,20.070531495056535,0,0,1,0,C
548,0,3,33.0,1,1,2,0,S
549,1,2,8.0,1,1,3,0,S
550,1,1,17.0,0,2,3,0,C
551,0,2,27.0,0,0,2,0,S
552,0,3,44.169901519106645,0,0,0,0,Q
553,1,3,22.0,0,0,0,0,C
554,1,3,22.0,0,0,0,1,S
555,0,1,62.0,0,0,2,0,S
556,1,1,48.0,1,0,3,1,C
557,0,1,24.877915094992424,0,0,3,0,C
558,1,1,39.0,1,1,3,1,S
559,1,3,36.0,1,0,2,1,S
560,0,3,23.255146248887453,0,0,0,0,Q
561,0,3,40.0,0,0,0,0,S
562,0,2,28.0,0,0,1,0,S
563,0,3,18.778021105260883,0,0,1,0,S
564,0,3,33.65777618133898,0,0,1,1,S
565,0,3,24.0,2,0,2,0,S
566,0,3,19.0,0,0,0,0,S
567,0,3,29.0,0,4,2,1,S
568,0,3,42.46954575723148,0,0,0,0,C
569,1,3,32.0,0,0,0,0,S
570,1,2,62.0,0,0,1,0,S
571,1,1,53.0,2,0,3,1,S
572,1,1,36.0,0,0,2,0,S
573,1,3,43.899510988386204,0,0,0,1,Q
574,0,3,16.0,0,0,1,0,S
575,0,3,19.0,0,0,2,0,S
576,1,2,34.0,0,0,1,1,S
577,1,1,39.0,1,0,3,1,S
578,0,3,16.221638013146055,1,0,2,1,C
579,1,3,32.0,0,0,1,0,S
580,1,2,25.0,1,1,2,1,S
581,1,1,39.0,1,1,3,1,C
582,0,2,54.0,0,0,2,0,S
583,0,1,36.0,0,0,3,0,C
584,0,3,43.621534004298276,0,0,1,0,C
585,1,1,18.0,0,2,3,1,S
586,0,2,47.0,0,0,2,0,S
587,1,1,60.0,1,1,3,0,C
588,0,3,22.0,0,0,1,0,S
589,0,3,29.364239947417023,0,0,1,0,S
590,0,3,35.0,0,0,0,0,S
591,1,1,52.0,1,0,3,1,C
592,0,3,47.0,0,0,0,0,S
593,0,3,18.736781539144715,0,2,0,1,Q
594,0,2,37.0,1,0,2,0,S
595,0,3,36.0,1,1,2,0,S
596,1,2,15.907255856455366,0,0,3,1,S
597,0,3,49.0,0,0,0,0,S
598,0,3,28.914475960884783,0,0,0,0,C
599,1,1,49.0,1,0,3,0,C
600,1,2,24.0,2,1,2,1,S
601,0,3,37.06933704947938,0,0,0,0,S
602,0,1,33.277862641135336,0,0,3,0,S
603,0,3,44.0,0,0,1,0,S
604,1,1,35.0,0,0,2,0,C
605,0,3,36.0,1,0,2,0,S
606,0,3,30.0,0,0,0,0,S
607,1,1,27.0,0,0,2,0,S
608,1,2,22.0,1,2,3,1,C
609,1,1,40.0,0,0,3,1,S
610,0,3,39.0,1,5,3,1,S
611,0,3,16.440966258704716,0,0,0,0,S
612,1,3,21.14934974892651,1,0,2,1,Q
613,0,3,29.293285091074,0,0,0,0,Q
614,0,3,35.0,0,0,1,0,S
615,1,2,24.0,1,2,3,1,S
616,0,3,34.0,1,1,1,0,S
617,0,3,26.0,1,0,2,1,S
618,1,2,4.0,2,1,3,1,S
619,0,2,26.0,0,0,1,0,S
620,0,3,27.0,1,0,2,0,C
621,1,1,42.0,1,0,3,0,S
622,1,3,20.0,1,1,2,0,C
623,0,3,21.0,0,0,0,0,S
624,0,3,21.0,0,0,2,0,S
625,0,1,61.0,0,0,3,0,S
626,0,2,57.0,0,0,1,0,Q
627,1,1,21.0,0,0,3,1,S
628,0,3,26.0,0,0,0,0,S
629,0,3,41.103097191785125,0,0,0,0,Q
630,1,1,80.0,0,0,2,0,S
631,0,3,51.0,0,0,0,0,S
632,1,1,32.0,0,0,2,0,C
633,0,1,23.44261445738013,0,0,0,0,S
634,0,3,9.0,3,2,2,1,S
635,1,2,28.0,0,0,1,1,S
636,0,3,32.0,0,0,1,0,S
637,0,2,31.0,1,1,2,0,S
638,0,3,41.0,0,5,3,1,S
639,0,3,15.563167072917325,1,0,2,0,S
640,0,3,20.0,0,0,0,0,S
641,1,1,24.0,0,0,3,1,C
642,0,3,2.0,3,2,2,1,S
643,1,3,25.292298520024467,0,0,3,0,S
644,1,3,0.75,2,1,2,1,C
645,1,1,48.0,1,0,3,0,C
646,0,3,19.0,0,0,0,0,S
647,1,1,56.0,0,0,3,0,C
648,0,3,15.65480039359206,0,0,0,0,S
649,1,3,23.0,0,0,0,1,S
650,0,3,37.02531121735953,0,0,0,0,S
651,1,2,18.0,0,1,2,1,S
652,0,3,21.0,0,0,1,0,S
653,1,3,40.57957240875445,0,0,0,1,Q
654,0,3,18.0,0,0,0,1,Q
655,0,2,24.0,2,0,3,0,S
656,0,3,27.593243898036405,0,0,0,0,S
657,0,3,32.0,1,1,2,1,Q
658,0,2,23.0,0,0,1,0,S
659,0,1,58.0,0,2,3,0,C
660,1,1,50.0,2,0,3,0,S
661,0,3,40.0,0,0,0,0,C
662,0,1,47.0,0,0,2,0,S
663,0,3,36.0,0,0,0,0,S
664,1,3,20.0,1,0,1,0,S
